author,author_type,url,location,deal_type,accommodation_type,floor,floors_count,rooms_count,total_meters,price_per_month,commissions,price,district,street,house_number,underground,residential_complex
МИЭЛЬ,real_estate_agent,https://www.cian.ru/sale/flat/298832365/,Москва,sale,flat,1,12,2,50.5,-1,0,10490000.0,,,42,Рассказовка,
Московский Квартал,real_estate_agent,https://www.cian.ru/sale/flat/301717047/,Москва,sale,flat,11,15,2,44.0,-1,0,10500000.0,, 1-я Ватутинская,14к2,Коммунарка,Russian Design District
ЛэндЛ,real_estate_agent,https://www.cian.ru/sale/flat/301061455/,Москва,sale,flat,2,5,2,43.9,-1,0,10490000.0,Измайлово,Никитинская ,1К3,Измайловская,
Основа,developer,https://www.cian.ru/sale/flat/293007189/,Москва,sale,flat,4,36,2,37.9,-1,0,10687800.0,Ярославский,проспект Мира,222,Ростокино,Квартал МИРАПОЛИС
Homeapp,real_estate_agent,https://www.cian.ru/sale/flat/298662594/,Москва,sale,flat,1,9,2,38.0,-1,0,10700000.0,Преображенское,Знаменская ,19,Преображенская площадь,
ID 89000637,unknown,https://www.cian.ru/sale/flat/297158514/,Москва,sale,flat,1,4,2,52.4,-1,0,10700000.0,, Бориса Житкова,5,Ольховая,
Этажи Москва,real_estate_agent,https://www.cian.ru/sale/flat/298566231/,Москва,sale,flat,3,9,2,44.4,-1,0,10750000.0,Коптево,Большая Академическая ,77К1,Лихоборы,
А101,developer,https://www.cian.ru/sale/flat/292132791/,Москва,sale,flat,13,15,2,38.0,-1,0,10753478.0,,,,Ольховая,Деснаречье ЖК
Этажи Москва,real_estate_agent,https://www.cian.ru/sale/flat/301358387/,Москва,sale,flat,9,12,2,53.0,-1,0,10900000.0,Ивановское,Челябинская ,23К1,Новогиреево,
Место,real_estate_agent,https://www.cian.ru/sale/flat/301530369/,Москва,sale,flat,12,12,2,44.6,-1,0,10950000.0,Северное Измайлово,Щелковское шоссе,96,Щёлковская,
Место,real_estate_agent,https://www.cian.ru/sale/flat/299798481/,Москва,sale,flat,11,12,2,39.1,-1,0,10950000.0,Северное Измайлово,11-я Парковая ,48К2,Щёлковская,
Римарком Владис,real_estate_agent,https://www.cian.ru/sale/flat/298636924/,Москва,sale,flat,6,14,2,51.7,-1,0,10990000.0,Южное Бутово,2-я Мелитопольская ,21К3,Бутово,
